"
Employer

","
Job Location
","
Rank or Title
",Specialty,"
Deadline

","
Date Posted
▽

",Application Status
"
Los Medanos College
","
USA
: California
","
Assistant Professor 
","
Applied Linguistics;
Language Acquisition;
Spanish
","
05-Feb-2016
","
09-Dec-2015
","
open
"
"
Central Connecticut State University
","
USA
: Connecticut
","
Assistant Professor 
","
Applied Linguistics;
Phonology;
Language Acquisition
","
29-Jan-2016 
(Open until filled)
","
09-Dec-2015
","
open
"
"
Stanford University
","
USA
: California
","
Post Doc 
","
Applied Linguistics;
Computational Linguistics;
General Linguistics;
Anthropological Linguistics 
","
10-Feb-2016
","
08-Dec-2015
","
open
"
"
Stanford University
","
USA
: California
","
Instructor 
","
Applied Linguistics;
Computational Linguistics;
General Linguistics;
Anthropological Linguistics 
","
10-Feb-2016
","
08-Dec-2015
","
open
"
"
Stanford University
","
USA
: California
","
Lecturer 
","
Applied Linguistics;
Computational Linguistics;
General Linguistics;
Anthropological Linguistics 
","
10-Feb-2016
","
08-Dec-2015
","
open
"
"
Missouri University of Science and Technology
","
USA
: Missouri
","
Asst/Assoc Professor 
","
Applied Linguistics;
English
","
15-Feb-2016
","
08-Dec-2015
","
open
"
"
University of Central Missouri
","
USA
: Missouri
","
Assistant Professor 
","
Applied Linguistics;
Language Acquisition;
English
","
01-Feb-2016 
(Open until filled)
","
08-Dec-2015
","
open
"
"
University of Gothenburg
","
Sweden
: Gothenburg
","
Senior Lecturer 
","
Applied Linguistics;
Ling & Literature;
Language Acquisition;
Japanese 
","
10-Dec-2015
","
07-Dec-2015
","
closed
"
"
Artificial Solutions
","
Sweden
: Stockholm
","
Scientist 
","
Computational Linguistics;
English
","
01-Mar-2016 
(Open until filled)
","
07-Dec-2015
","
open
"
"
Artificial Solutions
","
Sweden
: Stockholm
","
Programmer 
","
Computational Linguistics;
English
","
01-Mar-2016 
(Open until filled)
","
07-Dec-2015
","
open
"
"
The Chinese University of Hong Kong
","
Hong Kong
: Shatin
","
Associate Professor 
","
Applied Linguistics;
General Linguistics;
French;
German; 
Spanish
","
31-Jan-2016
","
07-Dec-2015
","
open
"
"
The Chinese University of Hong Kong
","
Hong Kong
: Shatin
","
Professor 
","
Applied Linguistics;
General Linguistics;
French;
German; 
Spanish
","
31-Jan-2016
","
07-Dec-2015
","
open
"
"
University of Aizu
","
Japan
: Aizu-Wakamatsu, Fukushima
","
Associate Professor 
","
Applied Linguistics;
Language Acquisition;
English
","
29-Feb-2016
","
07-Dec-2015
","
open
"
"
University of Aizu
","
Japan
: Aizu-Wakamatsu, Fukushima
","
Professor 
","
Applied Linguistics;
Language Acquisition;
English
","
29-Feb-2016
","
07-Dec-2015
","
open
"
"
Artificial Solutions
","
Netherlands
: Utrecht
","
Programmer 
Computational Linguist, Presales Consultant, Engineer
","
Computational Linguistics;
Discourse Analysis;
Morphology;
Semantics; 
Syntax;
Text/Corpus Linguistics
","
26-Feb-2016 
(Open until filled)
","
07-Dec-2015
","
open
"
"
Artificial Solutions
","
Netherlands
: Utrecht
","
Consultant 
Computational Linguist, Presales Consultant, Engineer
","
Computational Linguistics;
Discourse Analysis;
Morphology;
Semantics; 
Syntax;
Text/Corpus Linguistics
","
26-Feb-2016 
(Open until filled)
","
07-Dec-2015
","
open
"
"
Artificial Solutions
","
Netherlands
: Utrecht
","
Computational Linguist, Presales Consultant, Engineer
","
Computational Linguistics;
Discourse Analysis;
Morphology;
Semantics; 
Syntax;
Text/Corpus Linguistics
","
26-Feb-2016 
(Open until filled)
","
07-Dec-2015
","
open
"
"
Northwestern University
","
USA
: Illinois
","
Post Doc 
","
Cognitive Science;
Language Acquisition
","
29-Feb-2016 
(Open until filled)
","
04-Dec-2015
","
open
"
"
Westfälische Wilhelms-Universität Münster
","
Germany
: Münster (Westfalen)
","
Full Professor 
W3
","
General Linguistics;
Typology
","
15-Jan-2016
","
04-Dec-2015
","
open
"
"
University of Miami
","
USA
: Florida
","
Visiting Professor 
","
General Linguistics;
Language Documentation;
Typology;
Cognitive Science; 
Anthropological Linguistics
","
05-Feb-2016 
(Open until filled)
","
04-Dec-2015
","
open
"
"
University of Calgary
","
Canada
: Calgary, Alberta
","
Assistant Professor 
","
Phonology
","
01-Feb-2016
","
04-Dec-2015
","
open
"
"
Hofstra University
","
USA
: New York
","
Assistant Professor 
","
Psycholinguistics;
Sociolinguistics;
Neurolinguistics;
Speech-Language Pathology 
","
(Open until filled)
","
04-Dec-2015
","
open
"
"
Indiana University Purdue University Fort Wayne
","
USA
: Indiana
","
Visiting Professor 
","
Applied Linguistics;
Sociolinguistics;
Language Acquisition;
English 
","
15-Feb-2016
","
03-Dec-2015
","
open
"
"
Indiana University Purdue University Fort Wayne
","
USA
: Indiana
","
Assistant Professor 
","
Applied Linguistics;
Sociolinguistics;
Language Acquisition;
English 
","
15-Feb-2016
","
03-Dec-2015
","
open
"
"
BNU-HKBU United International College
","
China
: Zhuhai, Guangdong
","
Rank Open 
","
Applied Linguistics;
Language Acquisition;
English
","
31-Jan-2016 
(Open until filled)
","
03-Dec-2015
","
open
"
"
University of Heidelberg - Faculty of Modern Languages
","
Germany
: Heidelberg, Baden-Wuerttemberg
","
Full Professor 
W3-Professur
","
Translation;
English;
German
","
29-Jan-2016
","
03-Dec-2015
","
open
"
"
Universität Tübingen
","
Germany
: Tübingen
","
Post Doc 
","
Computational Linguistics;
Language Acquisition
","
22-Dec-2015 
(Open until filled)
","
03-Dec-2015
","
open
"
"
Universität Tübingen
","
Germany
: Tübingen
","
Researcher 
","
Computational Linguistics;
Language Acquisition
","
22-Dec-2015 
(Open until filled)
","
03-Dec-2015
","
open
"
"
University of Tromsø - The Arctic University of Norway
","
Norway
: Tromsø
","
Manager 
Manager of the acquisition lab
","
Language Acquisition;
Multilingualism, Linguistic Variation, Language Attrition
","
07-Jan-2016
","
02-Dec-2015
","
open
"
"
University of Tromsø - The Arctic University of Norway
","
Norway
: Tromsø
","
Researcher 
Manager of the acquisition lab
","
Language Acquisition;
Multilingualism, Linguistic Variation, Language Attrition
","
07-Jan-2016
","
02-Dec-2015
","
open
"
"
F. Hoffmann-La Roche
","
Switzerland
: Basel-Stadt, Basel
","
Post Doc 
","
Computational Linguistics
","
31-Jan-2016
","
01-Dec-2015
","
open
"
