"uid","Employer","JobLocation","RankorTitle","Specialty","Deadline","DatePosted","ApplicationStatus","OpenUntilFilled","JobSubLocation","lon","lat"
1,"Los Medanos College","USA","Assistant Professor ","Applied Linguistics;Language Acquisition;Spanish",2016-02-05,2015-12-09,TRUE,FALSE,"California",-119.4179324,36.778261
2,"Central Connecticut State University","USA","Assistant Professor ","Applied Linguistics;Phonology;Language Acquisition",2016-01-29,2015-12-09,TRUE,TRUE,"Connecticut",-72.6067882,41.7934682
3,"Stanford University","USA","Post Doc ","Applied Linguistics;Computational Linguistics;General Linguistics;Anthropological Linguistics ",2016-02-10,2015-12-08,TRUE,FALSE,"California",-147.8562204,64.8412424
4,"Stanford University","USA","Instructor ","Applied Linguistics;Computational Linguistics;General Linguistics;Anthropological Linguistics ",2016-02-10,2015-12-08,TRUE,FALSE,"California",-147.8562204,64.8412424
5,"Stanford University","USA","Lecturer ","Applied Linguistics;Computational Linguistics;General Linguistics;Anthropological Linguistics ",2016-02-10,2015-12-08,TRUE,FALSE,"California",-147.8562204,64.8412424
6,"Missouri University of Science and Technology","USA","Asst/Assoc Professor ","Applied Linguistics;English",2016-02-15,2015-12-08,TRUE,FALSE,"Missouri",-91.8318334,37.9642529
7,"University of Central Missouri","USA","Assistant Professor ","Applied Linguistics;Language Acquisition;English",2016-02-01,2015-12-08,TRUE,TRUE,"Missouri",-90.2951939,38.6833575
8,"University of Gothenburg","Sweden","Senior Lecturer ","Applied Linguistics;Ling & Literature;Language Acquisition;Japanese ",2015-12-10,2015-12-07,FALSE,FALSE,"Gothenburg",11.9853213,57.6954209
9,"Artificial Solutions","Sweden","Scientist ","Computational Linguistics;English",2016-03-01,2015-12-07,TRUE,TRUE,"Stockholm",18.0685808,59.3293235
10,"Artificial Solutions","Sweden","Programmer ","Computational Linguistics;English",2016-03-01,2015-12-07,TRUE,TRUE,"Stockholm",18.0685808,59.3293235
11,"The Chinese University of Hong Kong","Hong Kong","Associate Professor ","Applied Linguistics;General Linguistics;French;German; Spanish",2016-01-31,2015-12-07,TRUE,FALSE,"Shatin",114.20383,22.417534
12,"The Chinese University of Hong Kong","Hong Kong","Professor ","Applied Linguistics;General Linguistics;French;German; Spanish",2016-01-31,2015-12-07,TRUE,FALSE,"Shatin",114.20383,22.417534
13,"University of Aizu","Japan","Associate Professor ","Applied Linguistics;Language Acquisition;English",2016-02-29,2015-12-07,TRUE,FALSE,"Aizu-Wakamatsu, Fukushima",140.4747282,37.7608337
14,"University of Aizu","Japan","Professor ","Applied Linguistics;Language Acquisition;English",2016-02-29,2015-12-07,TRUE,FALSE,"Aizu-Wakamatsu, Fukushima",140.4747282,37.7608337
15,"Artificial Solutions","Netherlands","Programmer Computational Linguist, Presales Consultant, Engineer","Computational Linguistics;Discourse Analysis;Morphology;Semantics; Syntax;Text/Corpus Linguistics",2016-02-26,2015-12-07,TRUE,TRUE,"Utrecht",5.1214201,52.0907374
