id,cagegory
10001,8
10002,10
10003,9
10004,6
10005,6
10006,7
10007,1
10008,10
10009,1
10010,9
10011,9
10012,9
10013,4
10014,4
10015,5
10016,5
10017,8
10018,10
10019,8
10020,9
10021,2
10022,5
10023,7
10024,6
10025,7
10026,7
10027,10
10028,3
10029,4
10030,9
10031,9
10032,5
10033,9
10034,10
10035,1
10036,5
10037,5
10038,8
10039,8
10040,10
10041,10
10042,9
10043,5
10044,5
10045,5
10046,7
10047,10
10048,5
10049,5
10050,10
10051,10
10052,8
10053,6
10054,3
10055,8
10056,5
10057,5
10058,3
10059,1
10060,10
10061,2
10062,5
10063,8
10064,9
10065,5
10066,4
10067,3
10068,8
10069,10
10070,10
10071,5
10072,8
10073,8
10074,10
10075,9
10076,3
10077,10
10078,9
10079,7
10080,7
10081,8
10082,5
10083,5
10084,10
10085,7
10086,8
10087,2
10088,9
10089,3
10090,9
10091,5
10092,10
10093,9
10094,2
10095,5
10096,2
10097,4
10098,8
10099,2
10100,8
10101,7
10102,10
10103,9
10104,8
10105,5
10106,10
10107,10
10108,2
10109,6
10110,2
10111,10
10112,8
10113,2
10114,10
10115,6
10116,5
10117,10
10118,3
10119,8
10120,1
10121,2
10122,4
10123,9
10124,9
10125,9
10126,5
10127,10
10128,9
10129,2
10130,8
10131,7
10132,10
10133,5
10134,7
10135,8
10136,7
10137,2
10138,7
10139,5
10140,8
10141,8
10142,10
10143,3
10144,3
10145,10
10146,9
10147,10
10148,8
10149,8
10150,5
10151,9
10152,5
10153,3
10154,7
10155,10
10156,1
10157,6
10158,7
10159,10
10160,1
10161,9
10162,4
10163,8
10164,7
10165,7
10166,7
10167,9
10168,8
10169,8
10170,8
10171,5
10172,2
10173,7
10174,9
10175,8
10176,10
10177,10
10178,6
10179,9
10180,4
10181,7
10182,2
10183,7
10184,4
10185,5
10186,5
10187,7
10188,7
10189,10
10190,9
10191,6
10192,6
10193,8
10194,10
10195,5
10196,5
10197,10
10198,2
10199,3
10200,7
10201,10
10202,9
10203,2
10204,10
10205,8
10206,5
10207,10
10208,7
10209,6
10210,10
10211,9
10212,4
10213,7
10214,9
10215,10
10216,10
10217,8
10218,9
10219,2
10220,8
10221,2
10222,5
10223,5
10224,10
10225,10
10226,9
10227,9
10228,10
10229,7
10230,7
10231,9
10232,4
10233,8
10234,9
10235,5
10236,1
10237,9
10238,7
10239,9
10240,9
10241,9
10242,9
10243,3
10244,8
10245,7
10246,5
10247,10
10248,3
10249,10
10250,10
10251,8
10252,7
10253,10
10254,9
10255,3
10256,9
10257,10
10258,8
10259,2
10260,9
10261,10
10262,2
10263,9
10264,10
10265,4
10266,9
10267,4
10268,5
10269,4
10270,7
10271,8
10272,4
10273,9
10274,6
10275,10
10276,2
10277,10
10278,8
10279,6
10280,10
10281,9
10282,8
10283,7
10284,5
10285,5
10286,8
10287,8
10288,8
10289,1
10290,9
10291,1
10292,7
10293,9
10294,3
10295,7
10296,9
10297,1
10298,3
10299,7
10300,8
10301,5
10302,5
10303,3
10304,10
10305,5
10306,10
10307,3
10308,7
10309,2
10310,8
10311,9
10312,8
10313,1
10314,5
10315,6
10316,10
10317,8
10318,4
10319,1
10320,3
10321,8
10322,10
10323,9
10324,2
10325,10
10326,9
10327,7
10328,4
10329,6
10330,7
10331,5
10332,4
10333,7
10334,9
10335,8
10336,7
10337,9
10338,9
10339,1
10340,7
10341,9
10342,8
10343,10
10344,7
10345,3
10346,2
10347,6
10348,1
10349,8
10350,10
10351,4
10352,7
10353,5
10354,4
