id,cagegory
10001,4
10002,6
10003,9
10004,6
10005,6
10006,7
10007,1
10008,10
10009,1
10010,3
10011,9
10012,9
10013,4
10014,4
10015,5
10016,5
10017,10
10018,10
10019,8
10020,6
10021,2
10022,5
10023,7
10024,6
10025,7
10026,7
10027,10
10028,3
10029,4
10030,9
10031,9
10032,5
10033,4
10034,10
10035,1
10036,5
10037,1
10038,8
10039,6
10040,10
10041,10
10042,9
10043,5
10044,5
10045,5
10046,7
10047,10
10048,5
10049,5
10050,3
10051,2
10052,4
10053,6
10054,8
10055,10
10056,5
10057,5
10058,3
10059,1
10060,10
10061,2
10062,3
10063,8
10064,9
10065,5
10066,4
10067,3
10068,8
10069,10
10070,10
10071,5
10072,8
10073,5
10074,6
10075,9
10076,3
10077,4
10078,9
10079,7
10080,7
10081,8
10082,5
10083,5
10084,10
10085,7
10086,8
10087,2
10088,9
10089,3
10090,6
10091,5
10092,4
10093,9
10094,2
10095,6
10096,2
10097,4
10098,1
10099,2
10100,8
10101,7
10102,10
10103,9
10104,1
10105,5
10106,10
10107,10
10108,2
10109,6
10110,1
10111,10
10112,8
10113,2
10114,2
10115,6
10116,5
10117,6
10118,3
10119,8
10120,1
10121,2
10122,4
10123,9
10124,10
10125,9
10126,5
10127,10
10128,9
10129,2
10130,8
10131,7
10132,2
10133,1
10134,7
10135,8
10136,7
10137,2
10138,7
10139,1
10140,8
10141,8
10142,10
10143,3
10144,3
10145,1
10146,6
10147,10
10148,8
10149,6
10150,5
10151,9
10152,5
10153,3
10154,7
10155,7
10156,1
10157,6
10158,7
10159,10
10160,4
10161,9
10162,4
10163,8
10164,7
10165,7
10166,7
10167,9
10168,8
10169,8
10170,8
10171,5
10172,2
10173,7
10174,9
10175,8
10176,6
10177,10
10178,6
10179,9
10180,4
10181,7
10182,1
10183,7
10184,10
10185,5
10186,5
10187,4
10188,7
10189,6
10190,3
10191,6
10192,2
10193,7
10194,2
10195,2
10196,5
10197,1
10198,1
10199,3
10200,7
10201,10
10202,9
10203,2
10204,6
10205,5
10206,5
10207,10
10208,7
10209,6
10210,10
10211,8
10212,4
10213,7
10214,4
10215,4
10216,10
10217,8
10218,9
10219,2
10220,10
10221,2
10222,5
10223,5
10224,10
10225,10
10226,9
10227,6
10228,10
10229,7
10230,7
10231,9
10232,1
10233,8
10234,9
10235,2
10236,1
10237,9
10238,7
10239,9
10240,9
10241,9
10242,9
10243,3
10244,10
10245,7
10246,5
10247,4
10248,3
10249,10
10250,1
10251,8
10252,7
10253,6
10254,9
10255,3
10256,2
10257,10
10258,8
10259,4
10260,1
10261,10
10262,2
10263,9
10264,10
10265,4
10266,9
10267,5
10268,6
10269,4
10270,7
10271,8
10272,4
10273,9
10274,6
10275,4
10276,2
10277,3
10278,4
10279,1
10280,10
10281,9
10282,8
10283,7
10284,5
10285,6
10286,7
10287,8
10288,8
10289,1
10290,9
10291,1
10292,7
10293,1
10294,3
10295,7
10296,9
10297,1
10298,3
10299,7
10300,8
10301,5
10302,6
10303,3
10304,10
10305,4
10306,1
10307,3
10308,8
10309,2
10310,8
10311,9
10312,2
10313,1
10314,5
10315,6
10316,6
10317,8
10318,4
10319,1
10320,1
10321,8
10322,10
10323,6
10324,1
10325,10
10326,9
10327,7
10328,4
10329,6
10330,7
10331,5
10332,4
10333,7
10334,9
10335,8
10336,7
10337,6
10338,9
10339,1
10340,7
10341,9
10342,8
10343,10
10344,4
10345,3
10346,2
10347,6
10348,1
10349,4
10350,2
10351,4
10352,7
10353,5
10354,4
10355,5
10356,9
10357,2
10358,6
10359,5
10360,8
10361,8
10362,3
10363,8
10364,10
10365,1
10366,3
10367,10
10368,6
10369,3
10370,7
10371,5
10372,3
10373,5
10374,7
10375,10
10376,10
10377,4
10378,10
10379,7
10380,3
10381,6
10382,1
10383,4
10384,3
10385,2
10386,5
10387,8
10388,8
10389,8
10390,8
10391,2
10392,9
10393,6
10394,2
10395,6
10396,1
10397,4
10398,7
10399,7
10400,6
10401,6
10402,4
10403,3
10404,2
10405,1
10406,6
10407,1
10408,2
10409,5
10410,5
10411,10
10412,6
10413,6
10414,9
10415,7
10416,5
10417,9
