id,cagegory
10001,3
10002,6
10003,8
10004,6
10005,6
10006,7
10007,1
10008,10
10009,2
10010,10
10011,9
10012,9
10013,2
10014,2
10015,1
10016,5
10017,5
10018,5
10019,8
10020,9
10021,4
10022,5
10023,7
10024,6
10025,7
10026,7
10027,10
10028,3
10029,4
10030,9
10031,1
10032,4
10033,5
10034,10
10035,3
10036,6
10037,2
10038,8
10039,3
10040,10
10041,10
10042,9
10043,5
10044,5
10045,5
10046,7
10047,10
10048,2
10049,1
10050,3
10051,4
10052,8
10053,6
10054,3
10055,10
10056,3
10057,2
10058,3
10059,8
10060,10
10061,2
10062,2
10063,8
10064,9
10065,5
10066,4
10067,1
10068,8
10069,10
10070,10
10071,5
10072,3
10073,5
10074,2
10075,9
10076,4
10077,4
10078,9
10079,7
10080,7
10081,8
10082,5
10083,5
10084,6
10085,7
10086,8
10087,3
10088,9
10089,3
10090,6
10091,5
10092,4
10093,9
10094,2
10095,6
10096,3
10097,4
10098,8
10099,2
10100,8
10101,7
10102,10
10103,9
10104,8
10105,4
10106,10
10107,10
10108,1
10109,6
10110,2
10111,10
10112,8
10113,2
10114,10
10115,6
10116,5
10117,10
10118,3
10119,8
10120,1
10121,2
10122,4
10123,9
10124,9
10125,9
10126,10
10127,10
10128,10
10129,2
10130,8
10131,7
10132,2
10133,5
10134,7
10135,8
10136,7
10137,2
10138,7
10139,3
10140,8
10141,3
10142,3
10143,6
10144,2
10145,10
10146,6
10147,10
10148,8
10149,6
10150,2
10151,9
10152,5
10153,3
10154,7
10155,7
10156,2
10157,6
10158,7
10159,6
10160,4
10161,9
10162,4
10163,8
10164,7
10165,7
10166,7
10167,9
10168,8
10169,8
10170,8
10171,5
10172,2
10173,7
10174,9
10175,8
10176,8
10177,10
10178,6
10179,9
10180,4
10181,7
10182,1
10183,7
10184,10
10185,5
10186,5
10187,4
10188,7
10189,10
10190,9
10191,6
10192,6
10193,7
10194,3
10195,2
10196,5
10197,1
10198,1
10199,3
10200,7
10201,3
10202,9
10203,2
10204,10
10205,5
10206,5
10207,10
10208,7
10209,6
10210,2
10211,8
10212,4
10213,7
10214,4
10215,4
10216,9
10217,6
10218,9
10219,7
10220,10
10221,2
10222,5
10223,10
10224,10
10225,10
10226,9
10227,2
10228,10
10229,7
10230,7
10231,5
10232,4
10233,8
10234,9
10235,2
10236,5
