id,cagegory
10001,4
10002,1
10003,6
10004,6
10005,1
10006,9
10007,9
10008,6
10009,8
10010,10
10011,6
10012,4
10013,9
10014,8
10015,5
10016,8
10017,7
10018,5
10019,7
10020,1
10021,4
10022,4
10023,3
10024,10
10025,5
10026,2
10027,5
10028,10
10029,7
10030,8
10031,6
10032,7
10033,7
10034,7
10035,7
10036,8
10037,10
10038,3
10039,10
10040,5
10041,3
10042,3
10043,1
10044,3
10045,10
10046,6
10047,3
10048,2
10049,9
10050,4
10051,8
10052,5
10053,2
10054,9
10055,10
10056,4
10057,9
10058,5
10059,2
10060,8
10061,3
10062,9
10063,5
10064,7
10065,1
10066,9
10067,1
10068,6
10069,10
10070,9
10071,3
10072,4
10073,10
10074,9
10075,9
10076,1
10077,5
10078,9
10079,8
10080,9
10081,10
10082,3
10083,4
10084,1
10085,2
10086,9
10087,9
10088,6
10089,5
10090,9
10091,6
10092,5
10093,6
10094,7
10095,7
10096,5
10097,3
10098,4
10099,2
10100,4
10101,6
10102,2
10103,9
10104,3
10105,4
10106,2
10107,5
10108,10
10109,6
10110,9
10111,5
10112,8
10113,6
10114,7
10115,3
10116,5
10117,3
10118,5
10119,9
10120,3
10121,3
10122,5
10123,6
10124,9
10125,5
10126,4
10127,10
10128,3
10129,7
10130,3
10131,3
10132,5
10133,1
10134,3
10135,5
10136,4
10137,6
10138,2
10139,5
10140,6
10141,5
10142,9
10143,9
10144,5
10145,7
10146,1
10147,6
10148,9
10149,3
10150,5
10151,10
10152,6
10153,1
10154,9
10155,5
10156,3
10157,7
10158,7
10159,4
10160,7
10161,2
10162,4
10163,10
10164,8
10165,10
10166,8
10167,2
10168,4
10169,7
10170,3
10171,9
10172,2
10173,10
10174,4
10175,5
10176,6
10177,4
10178,6
10179,4
10180,6
10181,4
10182,9
10183,4
10184,4
10185,9
10186,2
10187,3
10188,7
10189,10
10190,7
10191,6
10192,3
10193,8
10194,6
10195,5
10196,9
10197,9
10198,2
10199,7
10200,7
10201,3
10202,3
10203,1
10204,8
10205,5
10206,9
10207,6
10208,8
10209,3
10210,5
10211,7
10212,2
10213,4
10214,10
10215,4
10216,5
10217,10
10218,5
10219,5
10220,10
10221,4
10222,9
10223,6
10224,6
10225,9
10226,4
10227,2
10228,4
10229,5
10230,4
10231,4
10232,1
10233,2
10234,8
10235,6
10236,2
10237,9
10238,4
10239,4
10240,7
10241,7
10242,5
10243,3
10244,4
10245,5
10246,3
10247,8
10248,1
10249,2
10250,7
10251,10
10252,1
10253,5
10254,10
10255,2
10256,7
10257,9
10258,8
10259,8
10260,5
10261,3
10262,3
10263,2
10264,4
10265,4
10266,3
10267,7
10268,9
10269,10
10270,3
10271,6
10272,1
10273,1
10274,5
10275,6
10276,6
10277,3
10278,3
10279,3
10280,2
10281,10
10282,6
10283,1
10284,1
10285,8
10286,4
10287,4
10288,4
10289,2
10290,2
10291,8
10292,10
10293,4
10294,5
10295,10
10296,8
10297,5
10298,10
10299,4
10300,10
10301,3
10302,3
