artist	name	id	year	rank	lang	nation
乐童音乐家	200%	28391038	2014	79	kr	kr
JPM	365天	25639303	2012	59	ch	ch
曾沛慈	一个人想着一个人(电视剧《终极一班2》片尾曲)	25714102	2013	55	ch	ch
陶喆	一念之间	26145664	2013	58	ch	ch
EXO	十二月的奇迹(Miracles In December)	28059507	2014	38	kr	kr
苏打绿	十年一刻	26075400	2010	49	ch	ch
魏如萱	三个字	25638991	2011	62	ch	ch
张惠妹	三月	28700951	2014	7	ch	ch
炎亚纶	下一个我	25638922	2011	45	ch	ch
方大同	千纸鹤	25648004	2013	40	ch	ch
蔡依林	大艺术家	209506	2012	2	ch	ch
八三夭	大逃杀	29728075	2014	65	ch	ch
韦礼安	女孩	32358362	2015	39	ch	ch
张芸京	小女孩	25640572	2012	22	ch	ch
潘玮柏	小丑	28638580	2014	51	ch	ch
韩庚	小丑面具	101349	2012	12	ch	ch
李宗盛	山丘	26598946	2013	48	ch	ch
曾沛慈	不过失去了一点点	29812781	2015	4	ch	ch
罗志祥	不具名的悲伤	109916	2012	16	ch	ch
郭静	不还	28724243	2014	73	ch	ch
李荣浩	不将就	31654343	2015	63	ch	ch
MP魔幻力量	不按牌理出牌	25639057	2011	79	ch	ch
By2	不哭了	27725380	2013	20	ch	ch
莫文蔚	不散，不见	29775848	2015	54	ch	ch
李荣浩	不搭	29755057	2014	61	ch	ch
萧亚轩	不解释亲吻	28850299	2014	5	ch	ch
周杰伦	公公偏头痛	25653002	2013	57	ch	ch
杨丞琳	天使之翼	27534044	2013	73	ch	ch
孙燕姿	天使的指纹	28274554	2014	13	ch	ch
Super Junior M	太完美	25638808	2011	28	ch	kr
陈势安	心·洞	25639082	2011	82	ch	ch
王心凌	心电心	297494	2010	45	ch	ch
毕书尽	心时代	34179223	2015	25	ch	ch
嵐	心の空	35755684	2015	77	jp	jp
AKB48	心のプラカード	29460136	2014	33	jp	jp
林俊杰	手心的蔷薇	29848657	2015	19	ch	ch
周杰伦	手写的从前	29822018	2015	36	ch	ch
蔡依林	无言以对	25641769	2010	67	ch	ch
孙燕姿	无限大	28283345	2014	28	ch	ch
苏打绿	无眠	374940	2010	3	ch	ch
江蕙	歹逗阵(Cann't Get Along)	26425004	2013	10	ch	ch
王力宏	火力全开	25638999	2011	67	ch	ch
李健	风吹麦浪	27538224	2013	17	ch	ch
周兴哲	以后别做朋友	29437547	2014	29	ch	ch
林俊杰	可惜没如果	29814898	2015	3	ch	ch
Lollipop F	四度空间	344482	2010	17	ch	ch
杨丞琳	失忆的金鱼	29764634	2015	16	ch	ch
蔡健雅	失语者	36024442	2015	73	ch	ch
潘玮柏	打呼(戏剧版)	28665566	2014	31	ch	ch
罗志祥	未完的承诺	27907593	2013	62	ch	ch
杨乃文	未接来电	28138080	2014	54	ch	ch
萧煌奇	末班车	25639023	2011	73	ch	ch
张惠妹	母系社会	31311126	2015	33	ch	ch
Lollipop F	电司	25638997	2011	65	ch	ch
2AM	电话に出ない君に	5416171	2010	36	jp	kr
林俊杰	记得	25638971	2011	53	ch	ch
吴克羣	全部都给你	156081	2012	50	ch	ch
G.E.M.邓紫棋	再见	36024806	2015	29	ch	ch
苏打绿	再遇见	27678693	2013	64	ch	ch
Super Junior-M	华丽的独秀	392323	2012	57	ch	kr
光良	回忆里的疯狂	26524595	2013	7	ch	ch
韦礼安	因为爱	160031	2010	27	ch	ch
林俊杰	因你而在	25729074	2013	69	ch	ch
魏如萱	在不确定的世界里	28524583	2014	56	ch	ch
韦礼安	在你身边	28310961	2014	48	ch	ch
东城卫	在你离开那一天	352895	2010	20	ch	ch
曾沛慈	多年后	29812776	2015	38	ch	ch
林俊杰	她说	25638767	2011	10	ch	ch
方大同	好不容易	25638935	2011	48	ch	ch
严爵	好的事情	25638811	2011	31	ch	ch
萧敬腾	好想对你说	25638806	2011	27	ch	ch
陈珊妮	如同悲伤被下载了两次	34179838	2015	28	ch	ch
朱俐静	存在的力量	26075414	2013	37	ch	ch
徐佳莹	寻人启事	28561288	2014	32	ch	ch
罗志祥	有我在	109905	2012	23	ch	ch
汪苏泷	有点甜	165340	2013	33	ch	ch
萧亚轩	有爱到就好	26127540	2013	54	ch	ch
汪东城	约定	27493032	2013	30	ch	ch
王力宏	你不知道的事	25642125	2010	6	ch	ch
张惠妹	你在看我吗	25638804	2011	26	ch	ch
吴克羣	你好可爱	31545740	2015	41	ch	ch
王诗安	你好吗	27571713	2013	13	ch	ch
王力宏	你的爱	30070681	2015	13	ch	ch
陈奕迅	你给我听好	28432673	2014	37	ch	ch
郭静	你眼中的我	27671266	2013	28	ch	ch
徐佳莹	你敢不敢	306640	2012	60	ch	ch
孙燕姿	克卜勒	28196001	2014	2	ch	ch
张栋梁	别再惊动爱情	25638989	2011	60	ch	ch
萧敬腾	吻我吧	28660590	2014	24	ch	ch
杨丞琳	忘了	315967	2012	15	ch	ch
杨宗纬	忘了我	25986220	2013	68	ch	ch
潘玮柏	忘记拥抱	10308019	2012	34	ch	ch
杨宗纬	怀珠	25638795	2011	18	ch	ch
戴爱玲	我不离开	33241436	2015	79	ch	ch
五月天	我不愿让你一个人	385554	2012	1	ch	ch
杨丞琳	我们都傻	25638853	2011	38	ch	ch
苏打绿	我好想你	26524510	2013	77	ch	ch
曲婉婷	我的歌声里(You Exist In My Song) - You Exist In My Song	285095	2012	35	ch	ch
毕书尽	我还想念你	29771202	2015	11	ch	ch
王心凌	我很好，那么你呢？	297495	2010	59	ch	ch
萧亚轩	我爱我	306844	2012	11	ch	ch
张芸京	我陪你(2012《小女孩梦想微唱会》主题曲)	22854152	2012	29	ch	ch
张惠妹	我最亲爱的	25638740	2011	5	ch	ch
杨培安	沉睡的野兽	28188509	2014	67	ch	ch
吴克羣	没关系	156088	2010	58	ch	ch
黄小琥	没那么简单	239188	2010	47	ch	ch
萧亚轩	狂想曲	25648040	2010	22	ch	ch
萧敬腾	狂想曲	25638744	2011	7	ch	ch
玄彬	那个男人	25638776	2011	12	kr	kr
杨宗纬	那个男人	25638720	2011	3	ch	ch
胡夏	那些年	25638810	2011	30	ch	ch
潘裕文	针	25640209	2012	64	ch	ch
