name	id	V1	V2
200%	28391038	2014	79
24个比利	139458	2012	52
365天	25639303	2012	59
一个人想着一个人(电视剧《终极一班2》片尾曲)	25714102	2013	55
一念之间	26145664	2013	58
十二月的奇迹(Miracles In December)	28059507	2014	38
十年一刻	26075400	2010	49
三个字	25638991	2011	62
三月	28700951	2014	7
下一个我	25638922	2011	45
千纸鹤	25648004	2013	40
大艺术家	209506	2012	2
大逃杀	29728075	2014	65
女孩	32358362	2015	39
小女孩	25640572	2012	22
小丑	28638580	2014	51
小丑面具	101349	2012	12
山丘	26598946	2013	48
不过失去了一点点	29812781	2015	4
不具名的悲伤	109916	2012	16
不还	28724243	2014	73
不将就	31654343	2015	63
不按牌理出牌	25639057	2011	79
不哭了	27725380	2013	20
不散，不见	29775848	2015	54
不搭	29755057	2014	61
不解释亲吻	28850299	2014	5
公公偏头痛	25653002	2013	57
天使之翼	27534044	2013	73
天使的指纹	28274554	2014	13
太完美	25638808	2011	28
心·洞	25639082	2011	82
心电心	297494	2010	45
心时代	34179223	2015	25
心の空	35755684	2015	77
心のプラカード	29460136	2014	33
手心的蔷薇	29848657	2015	19
手写的从前	29822018	2015	36
无言以对	25641769	2010	67
无限大	28283345	2014	28
无眠	374940	2010	3
歹逗阵(Cann't Get Along)	26425004	2013	10
火力全开	25638999	2011	67
风吹麦浪	27538224	2013	17
以后别做朋友	29437547	2014	29
可惜没如果	29814898	2015	3
四度空间	344482	2010	17
失忆的金鱼	29764634	2015	16
失语者	36024442	2015	73
打呼(戏剧版)	28665566	2014	31
未完的承诺	27907593	2013	62
未接来电	28138080	2014	54
末班车	25639023	2011	73
母系社会	31311126	2015	33
电司	25638997	2011	65
电话に出ない君に	5416171	2010	36
记得	25638971	2011	53
全部都给你	156081	2012	50
再见	36024806	2015	29
再遇见	27678693	2013	64
华丽的独秀	392323	2012	57
回忆里的疯狂	26524595	2013	7
因为爱	160031	2010	27
因你而在	25729074	2013	69
在不确定的世界里	28524583	2014	56
在你身边	28310961	2014	48
在你离开那一天	352895	2010	20
多年后	29812776	2015	38
她说	25638767	2011	10
好不容易	25638935	2011	48
好的事情	25638811	2011	31
好想对你说	25638806	2011	27
如同悲伤被下载了两次	34179838	2015	28
存在的力量	26075414	2013	37
寻人启事	28561288	2014	32
有我在	109905	2012	23
有点甜	165340	2013	33
有爱到就好	26127540	2013	54
约定	27493032	2013	30
你不知道的事	25642125	2010	6
你在看我吗	25638804	2011	26
你好可爱	31545740	2015	41
你好吗	27571713	2013	13
你的爱	30070681	2015	13
你给我听好	28432673	2014	37
你眼中的我	27671266	2013	28
你敢不敢	306640	2012	60
克卜勒	28196001	2014	2
别再惊动爱情	25638989	2011	60
吻我吧	28660590	2014	24
忘了	315967	2012	15
忘了我	25986220	2013	68
忘记拥抱	10308019	2012	34
怀珠	25638795	2011	18
我不离开	33241436	2015	79
我不愿让你一个人	385554	2012	1
我们都傻	25638853	2011	38
我好想你	26524510	2013	77
我的歌声里(You Exist In My Song) - You Exist In My Song	285095	2012	35
我还想念你	29771202	2015	11
我很好，那么你呢？	297495	2010	59
我爱我	306844	2012	11
我陪你(2012《小女孩梦想微唱会》主题曲)	22854152	2012	29
我最亲爱的	25638740	2011	5
沉睡的野兽	28188509	2014	67
没关系	156088	2010	58
没那么简单	239188	2010	47
狂想曲	25648040	2010	22
狂想曲	25638744	2011	7
那个男人	25638776	2011	12
那个男人	25638720	2011	3
那些年	25638810	2011	30
针	25640209	2012	64
依然爱你	25638802	2011	24
其实我们值得幸福	29794920	2015	52
其实都没有	25788001	2013	61
单恋曲	27678881	2013	45
变成陌生人(电视剧《爱情调色盘》片尾曲)	22854064	2012	43
命运线	25638982	2011	56
孤独的总和	30039638	2015	58
孤独患者	25638887	2011	43
学不会	108134	2012	4
幸福特调	36924301	2015	48
"放下,旅行"	28912268	2014	74
明明就	25641369	2013	76
果てない空	770018	2010	46
玩爱之徒	25641754	2010	28
经典！	76833	2010	57
花一开就相爱吧	255526	2010	56
诗人漫步	209524	2012	8
转身之后	63037	2010	31
还是要幸福	25638783	2011	14
还是爱着你	159938	2012	46
